100 0.223607
0.0192037 0.0484132 0.00920545
0.0307085 0.0922941 0.009045
0.162924 0.122018 0.0287218
0.0695539 0.109666 0.00101077
0.13763 0.0104536 0.0174811
0.187722 0.120481 0.016585
0.0680134 0.0942745 0.00553485
0.0744853 0.21832 0.0140466
0.200278 0.0614427 0.00182294
0.194387 0.0875853 0.0150879
0.0579484 0.182191 0.0044551
0.138251 0.0408073 0.00162699
0.101296 0.0335953 0.00347619
0.0236988 0.0347011 0.00761121
0.12791 0.192007 0.02024
0.039393 0.190688 0.0152603
0.0827214 0.137685 0.00358384
0.0189154 0.1787 0.00357062
0.0451919 0.0617946 0.0121545
0.0367507 0.0806488 0.00309401
0.0736681 0.0521998 0.00751131
0.0902485 0.144386 0.00692937
0.0338894 0.0854611 0.0141444
0.147707 0.177153 0.0299118
0.114727 0.215327 0.0109377
0.0758856 0.0533941 0.0113823
0.148886 0.152703 0.0122863
0.137075 0.0539574 0.00287616
0.185511 0.0499745 0.0217627
0.0100615 0.152882 0.00574317
0.108992 0.122566 0.0233627
0.207256 0.168837 0.0254622
0.0727352 0.150451 0.00378019
0.137333 0.118499 0.0261219
0.0228535 0.128502 0.0108874
0.185596 0.207758 0.0271878
0.158022 0.15384 0.0292501
0.153165 0.0807111 0.010152
0.121289 0.0876668 0.0093572
0.0166727 0.0515041 0.005522
0.00513036 0.200355 0.00344505
0.217111 0.082453 0.00788575
0.119081 0.168356 0.0325603
0.0678686 0.051343 0.000146794
0.197696 0.0114708 0.0120768
0.096334 0.167687 0.0207634
0.092256 0.102446 0.0229958
0.177618 0.173034 0.0391354
0.0404668 0.195434 0.00572952
0.136813 0.00531822 0.00816392
0.124827 0.107024 0.00752574
0.155746 0.14979 0.0231126
0.0276774 0.108621 0.00380907
0.0547712 0.0197258 0.0154142
0.0743958 0.136701 0.020949
0.146911 0.0491564 0.00467355
0.0552662 0.0323465 0.00133618
0.165106 0.0394882 0.0180804
0.170423 0.0562786 0.020451
0.0812636 0.0989884 0.00665866
0.0191844 0.132002 0.00646396
0.19132 0.0519732 0.00427374
0.144774 0.0674476 0.00749368
0.133397 0.208871 0.0294008
0.172302 0.172821 0.0228199
0.0906451 0.154058 0.0214472
0.0682237 0.0960509 0.000217881
0.182125 0.163037 0.0229135
0.0456587 0.0301476 0.00313232
0.126726 0.153165 0.0134186
0.105217 0.197395 0.0199435
0.172851 0.0862395 0.0198807
0.0896034 0.0501201 0.0075373
0.200806 0.172475 0.0282406
0.0966123 0.16782 0.0226725
0.0885578 0.184768 0.000956084
0.115622 0.028071 0.00226759
0.0370058 0.163168 0.00256634
0.195415 0.140661 0.0326893
0.214039 0.117024 0.0142744
0.111916 0.107386 0.000482456
0.0627653 0.113601 0.00355981
0.0292295 0.157651 0.0179793
0.151822 0.182263 0.0168742
0.174363 0.200881 0.0232617
0.182146 0.0672737 0.00465631
0.150941 0.0222353 0.00211242
0.0748391 0.20635 0.00831043

0.132102 0.119297 0.0346705
0.19579 0.100806 0.00288176
0.0854991 0.0683018 0.00952055
0.19651 0.206912 0.0550104
0.217729 0.094949 0.000915751
0.203195 0.135506 0.024712
0.118886 0.0546099 0.00237973
0.0252169 0.138735 0.00597537
0.0547072 0.156159 0.00426999
0.214403 0.0109963 0.00677162
0.0827761 0.0159329 0.0196191
0.0724102 0.0309761 0.00581667
0.0190894 0.04445 0.0149238
0.0274992 0.0892809 0.0106229
0.163021 0.122035 0.0315886
0.0723517 0.112231 0.000689405
0.136125 0.00726829 0.0221871
0.189262 0.120002 0.0147369
0.0637336 0.0984298 0.00579685
0.0788407 0.223171 0.0145789
0.19931 0.0615908 0.00640993
0.198075 0.0830517 0.0139565
0.0569692 0.181946 0.00229319
0.136947 0.0408562 0.004018
0.101184 0.0378748 0.00393094
0.0247864 0.0393374 0.009933
0.129827 0.194928 0.0195709
